Mountain Range,Latitude,Longitude,Name,Currently has water?,Sheep use?,Camera Data?,,,,Needs to be added to ArcMap/GoogleEarth,
Whipple,"744460
",3794790,Faire E Hare Drinker,U,U,,Location approximate. May be south.,,,,
Whipple,744382,3794859,Louie Spring,U,U,,,,,,
Whipple,749244,3801960,Berberry Spring,U,U,,Location approximate.,,,,
Whipple,749692,3803116,Scrub Spring,Y,U,,,,,,
Whipple,749381,3804339,Lee's Seep,N,N,,,,,,
Whipple,750294,3806316,Whipple Wash,N,N,,,,,,
Whipple,755008,3797465,Copper Basin Lake,Y,U,,,,,,
Whites,,,Two Ram Spring,Y,Y,Y,,,,x,
Wood/Hack,,,Wood Spring,U,U,,,,,,
Wood/Hack,662800,3881070,Hackberry Spring,U,U,,,,,,
Wood/Hack,668922,3880584,Vontrigger Spring,U,U,,,,,,
Wood/Hack,655721,3876611,3-4 ft across potentially non-seasonal tenaja,Y,U,,4/17/18 Had enough water upon discovery that potentially nonseasonal. Sheep use likely because sheep in area.,,,,
