"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","xend","yend"
"81242",-116.0988286,36.0536686,2019-06-30 00:00:00,-6.39000000006718e-05,3.82999999999356e-05,7.44989932823318e-05,3600,0.00037967301593014,2.60163355844859,2.78920659609575,-116.0990483,36.0537103
"81353",-116.0988925,36.0537069,2019-06-30 01:00:00,4.1899999999373e-05,-5.21999999989475e-05,6.69361636175661e-05,3600,0.000381872895890146,-0.894422161569267,2.78712958716173,-116.0988286,36.0536686
"81400",-116.0988506,36.0536547,2019-06-30 02:00:00,-6.27000000008593e-05,3.19999999973675e-05,7.03938207511091e-05,3600,0.000379426187680192,2.66968602022152,-2.7190771253888,-116.0988925,36.0537069
"81470",-116.0989133,36.0536867,2019-06-30 03:00:00,6.97000000116077e-05,7.190000000179e-05,0.000100138404230722,3600,0.000381379482090105,0.800933636536207,-1.86875238368531,-116.0988506,36.0536547
"81530",-116.0988436,36.0537586,2019-06-30 04:00:00,0.00297189999999148,0.000544699999998954,0.00302140492154696,3600,0.000383196170930031,0.181271485065012,-0.619662151471195,-116.0989133,36.0536867
"81597",-116.0958717,36.0543033,2019-06-30 05:00:00,0.00107450000000142,-0.00066139999999848,0.00126174490686551,3600,0.000376408353170115,-0.551769210681597,-0.733040695746609,-116.0988436,36.0537586
"81681",-116.0947972,36.0536419,2019-06-30 06:00:00,-0.000471099999998614,-4.44000000001665e-05,0.000473187668899676,3600,0.000345973457960166,-3.04762272394737,-2.49585351326577,-116.0958717,36.0543033
"81718",-116.0952683,36.0535975,2019-06-30 07:00:00,0.00122220000000084,-0.000196700000003602,0.00123792719091369,3600,0.000346479037210149,-0.159570971943492,2.88805175200388,-116.0947972,36.0536419
"81797",-116.0940461,36.0534008,2019-06-30 08:00:00,9.6099999993271e-05,9.64000000038823e-05,0.000136118220673998,3600,0.000334614233700027,0.786956603749355,0.946527575692847,-116.0952683,36.0535975
"81877",-116.09395,36.0534972,2019-06-30 09:00:00,4.81000000007725e-05,-0.000306100000003084,0.000309856127907716,3600,0.000337902768530187,-1.41493267993859,-2.20188928368794,-116.0940461,36.0534008
"81927",-116.0939019,36.0531911,2019-06-30 10:00:00,0.000861600000007456,-0.000992199999998888,0.00131408348289241,3600,0.000326654129050071,-0.855731843991108,0.559200835947477,-116.09395,36.0534972
"81958",-116.0930403,36.0521989,2019-06-30 11:00:00,0.00021699999999214,-0.000261100000003012,0.000339502886582959,3600,0.000290612965250101,-0.877378007616438,-0.0216461636253301,-116.0939019,36.0531911
"82020",-116.0928233,36.0519378,2019-06-30 12:00:00,0.00077440000001161,-0.00014720000000068,0.000788265944981884,3600,0.000281703855460002,-0.187841710410381,0.689536297206057,-116.0930403,36.0521989
"82122",-116.0920489,36.0517906,2019-06-30 13:00:00,0.00110389999998972,-0.00123949999999695,0.001659805850083,3600,0.000277279494499996,-0.843198350909876,-0.655356640499495,-116.0928233,36.0519378
"82158",-116.090945,36.0505511,2019-06-30 14:00:00,1.36000000026115e-05,-0.000201900000000421,0.00020235753012982,3600,0.00024035276448008,-1.50353785050299,-0.660339499593115,-116.0920489,36.0517906
"82225",-116.0909314,36.0503492,2019-06-30 15:00:00,0.000132199999995919,-0.000170599999997023,0.000215826782392513,3600,0.000234225577450075,-0.91154119245614,0.591996658046851,-116.090945,36.0505511
"82311",-116.0907992,36.0501786,2019-06-30 16:00:00,0.00210200000000782,-0.00125189999999975,0.00244656036304691,3600,0.000229569893650149,-0.537159945159961,0.374381247296179,-116.0909314,36.0503492
"82365",-116.0886972,36.0489267,2019-06-30 17:00:00,-0.00175720000000013,-0.000774200000002168,0.00192019204248007,3600,0.000206162253800206,-2.72659384635838,-2.18943390119842,-116.0907992,36.0501786
"82441",-116.0904544,36.0481525,2019-06-30 18:00:00,0.000404399999993643,-0.000756100000003812,0.000857453538100242,3600,0.000174260043920114,-1.07965903581036,1.64693481054802,-116.0886972,36.0489267
"82473",-116.09005,36.0473964,2019-06-30 19:00:00,-0.00171859999998958,0.00199470000000446,0.00263294778717352,3600,0.000157200159889988,2.28197671394373,-2.92154955742549,-116.0904544,36.0481525
"82558",-116.0917686,36.0493911,2019-06-30 20:00:00,-7.46999999989839e-05,7.57999999976278e-05,0.000106422413050487,3600,0.000203672427680129,2.34888565024829,0.0669089363045576,-116.09005,36.0473964
"82655",-116.0918433,36.0494669,2019-06-30 21:00:00,5.50000000032469e-06,2.34000000034484e-05,2.40376787599169e-05,3600,0.000205694625250062,1.33994386828497,-1.00894178196332,-116.0917686,36.0493911
"82679",-116.0918378,36.0494903,2019-06-30 22:00:00,2.92000000001735e-05,-5.03000000051657e-05,5.81612413943324e-05,3600,0.000206375088960161,-1.0448258357021,-2.38476970398706,-116.0918433,36.0494669
"82735",-116.0918086,36.04944,2019-06-30 23:00:00,1.49999999905504e-05,2.67000000064854e-05,3.06249897969425e-05,3600,0.000204989841050014,1.05894048473581,2.10376632043791,-116.0918378,36.0494903
"82861",-116.0917936,36.0494667,2019-07-01 00:00:00,4.58000000094216e-05,5.57999999983849e-05,7.21891958722549e-05,3600,0.000205782072680182,0.883507362846643,-0.175433121889167,-116.0918086,36.04944
"82882",-116.0917478,36.0495225,2019-07-01 01:00:00,7.6399999997534e-05,-0.000158599999998899,0.000176042381258815,3600,0.000207472729960156,-1.12188342371078,-2.00539078655743,-116.0917936,36.0494667
"82944",-116.0916714,36.0493639,2019-07-01 02:00:00,0.00149749999999926,0.00173470000000009,0.00229165668022025,3600,0.000203100023360182,0.858653392163769,1.98053681587455,-116.0917478,36.0495225
"83033",-116.0901739,36.0510986,2019-07-01 03:00:00,-0.0017138999999986,-0.0015736000000004,0.00232672950082223,3600,0.000260899665700232,-2.39884541532386,3.02568649969196,-116.0916714,36.0493639
"83084",-116.0918878,36.049525,2019-07-01 04:00:00,0.000800599999990936,-0.00110890000000552,0.00136770595158379,3600,0.000207281939210172,-0.945472640618904,1.45337277470495,-116.0901739,36.0510986
"83170",-116.0910872,36.0484161,2019-07-01 05:00:00,0.00159469999999828,-0.00135249999999587,0.0020910103634328,3600,0.000178670174800001,-0.703402721630234,0.24206991898867,-116.0918878,36.049525
"83203",-116.0894925,36.0470636,2019-07-01 06:00:00,2.56000000007361e-05,-0.000671900000000392,0.000672387514756605,3660,0.000152490080980096,-1.53271383964361,-0.829311118013376,-116.0910872,36.0484161
"83295",-116.0894669,36.0463917,2019-07-01 07:01:00,-7.37000000015087e-05,0.000113300000002425,0.000135161311035266,3540,0.000137105012050087,2.14751272785689,-2.60295873967909,-116.0894925,36.0470636
"83326",-116.0895406,36.046505,2019-07-01 08:00:00,1.09000000065862e-05,4.24999999992792e-05,4.38755056960295e-05,3600,0.000139184982250133,1.31973703088837,-0.827775696968522,-116.0894669,36.0463917
"83404",-116.0895297,36.0465475,2019-07-01 09:00:00,0.000333299999994097,-0.000199700000003133,0.000388547268678235,3660,0.000140221842170159,-0.539801562510856,-1.85953859339923,-116.0895406,36.046505
"83492",-116.0891964,36.0463478,2019-07-01 10:01:00,0.00100610000001211,-0.00114969999999914,0.00152775891423431,3540,0.000137972725570049,-0.851910909471508,-0.312109346960652,-116.0895297,36.0465475
"83534",-116.0881903,36.0451981,2019-07-01 11:00:00,5.4199999993898e-05,-0.000261700000002918,0.00026725368098656,3600,0.000121729743890173,-1.36657618663835,-0.514665277166847,-116.0891964,36.0463478
"83575",-116.0881361,36.0449364,2019-07-01 12:00:00,-0.00210560000000726,0.000705000000003508,0.00222049011707675,10860,0.000117038934340059,2.81850341190669,-2.09810570863454,-116.0881903,36.0451981
"83803",-116.0902417,36.0456414,2019-07-01 15:01:00,0.0012248000000028,-0.00120640000000094,0.00171916724026755,3600,0.00011630835506007,-0.777830028853338,2.68685186641955,-116.0881361,36.0449364
"83889",-116.0890169,36.044435,2019-07-01 16:01:00,0.00219300000000544,-0.00169640000000015,0.00277254791843611,3540,0.000100118190420062,-0.658404919635568,0.11942510921777,-116.0902417,36.0456414
"83930",-116.0868239,36.0427386,2019-07-01 17:00:00,-0.00329109999999844,0.000931700000002422,0.00342043916770847,3600,9.27151117001239e-05,2.86571456962004,-2.75906581792398,-116.0890169,36.044435
"83973",-116.090115,36.0436703,2019-07-01 18:00:00,-0.000601400000007857,0.000239399999998113,0.000647297705857627,3600,7.95028936001297e-05,2.76275016845992,-0.102964401160117,-116.0868239,36.0427386
"84022",-116.0907164,36.0439097,2019-07-01 19:00:00,-0.000496399999988739,0.000165000000002635,0.000523104157878419,3600,8.08231860000563e-05,2.82068842953204,0.0579382610721209,-116.090115,36.0436703
